publisher,genres,title,release_date,price,id,developer
Mystic Box,"('Adventure', 'Indie', 'RPG')",Runespell: Overture,2011-07-20,9,102200,Mystic Box
"1C Company, 1C-SoftClub","('Strategy',)",Men of War: Assault Squad - Skirmish Pack,2011-07-21,1,64013,Digitalmindsoft
"Dejobaan Games, LLC","('Action', 'Indie')",Aaaaa! - Brutal Concussion,2011-07-22,1,15522,"Dejobaan Games, LLC"
Lunar Giant Studios,"('Adventure', 'Strategy', 'RPG', 'Indie')",Delve Deeper: Treasures and Tunnels,2011-07-22,0,63802,Lunar Giant
ORiGO GAMES,"('Action', 'Indie')",A.R.E.S.: Berzerker Suit,2011-07-22,0,92302,Extend Studio
Paradox Interactive,"('Simulation',)",Cities in Motion: Metro Stations,2011-07-22,2,73183,Colossal Order Ltd.
HeR Interactive,"('Adventure',)",Nancy Drew®: Secrets Can Kill REMASTERED,2010-08-24,6,42210,HeR Interactive
Bohemia Interactive,"('Action', 'Simulation', 'Strategy')",ARMA: Cold War Assault,2011-08-08,4,65790,Bohemia Interactive
Zachtronics,"('Casual', 'Indie')",SpaceChem: 63 Corvi,2011-07-22,1,92803,Zachtronics
Kalypso Media Digital,"('Simulation', 'Strategy')",Tropico 4,2011-09-01,14,57690,Haemimont Games
HeR Interactive,"('Adventure',)",Nancy Drew®: The Captive Curse,2011-06-28,6,42220,HeR Interactive
HeR Interactive,"('Adventure',)",Nancy Drew®: Trail of the Twister,2010-06-29,6,42230,HeR Interactive
Total Eclipse,"('Indie', 'Casual')",The Clockwork Man,2011-08-10,6,111000,Total Eclipse
Slitherine Ltd.,"('Strategy',)",Pride of Nations: American Civil War 1862,2011-08-10,3,73193,Ageod
Two Tribes Publishing,"('Action', 'Indie')",EDGE,2011-08-11,6,38740,Two Tribes
"2K Games, Aspyr (Mac, Linux)","('Strategy',)",Civilization V - Civ and Scenario Pack: Korea,2011-08-11,4,99612,"Firaxis Games,Aspyr (Mac, Linux)"
"2K Games, Aspyr (Mac, Linux)","('Strategy',)",Civilization V - Scenario Pack: Wonders of the Ancient World,2011-08-11,4,99614,"Firaxis Games,Aspyr (Mac, Linux)"
Coffee Stain Publishing,"('Indie',)",Sanctum: Official Soundtrack,2011-08-12,9,91604,Coffee Stain Studios
exosyphen studios,"('Indie',)",Hacker Evolution Duality,2011-08-15,4,70120,exosyphen studios
MinMax Games Ltd.,"('Action', 'Indie', 'RPG', 'Strategy')",Space Pirates and Zombies,2011-08-15,9,107200,MinMax Games Ltd.
Atari,"('Action',)",Section 8: Prejudice Frontier Colonies Map Pack,2011-08-16,3,97108,TimeGate Studios
Atari,"('Action',)",Section 8: Prejudice Blitz Pack,2011-08-16,2,97106,TimeGate Studios
Atari,"('Action',)",Section 8: Prejudice Overdrive Map Pack,2011-08-16,3,97107,TimeGate Studios
"SEGA, Feral Interactive (Mac/Linux)","('Strategy',)","Warhammer 40,000: Dawn of War II - Ultramarines Pack",2011-08-16,6,56487,"Relic Entertainment,Feral Interactive (Mac/Linux)"
Bethesda Softworks,"('Action', 'RPG')",Fallout New Vegas®: Lonesome Road™,2011-09-20,4,72760,Obsidian Entertainment
Three Rings,"('Adventure', 'Casual', 'Free to Play', 'Massively Multiplayer', 'Strategy')",Puzzle Pirates,2011-08-31,0,99910,Three Rings
Hothead Games,"('Action', 'Adventure', 'RPG')",The Baconing,2011-08-31,14,18070,Hothead Games
SEGA,"('Action',)","Warhammer 40,000: Space Marine",2011-09-05,29,55150,Relic
"1C Company, 1C-SoftClub","('Strategy',)",Men of War: Vietnam,2011-09-08,7,63940,1C Company
Good Shepherd Entertainment,"('Action', 'Indie')",Hard Reset Extended Edition,2012-07-12,14,98400,Flying Wild Hog
Slitherine Ltd.,"('Strategy',)",Pride of Nations: The Franco-Prussian War 1870,2011-09-06,3,73194,Ageod
Meridian4,"('Action', 'Indie')",Wasteland Angel,2011-09-01,9,46520,"Octane Games,Meridian4"
ATLUS USA,"('Action', 'Indie', 'Racing', 'Strategy')",Rock of Ages,2011-09-07,9,22230,ACE Team
Tripwire Interactive,"('Action', 'Massively Multiplayer', 'Simulation')",Red Orchestra 2: Heroes of Stalingrad with Rising Storm,2011-09-13,19,35450,Tripwire Interactive
Paradox Interactive,"('Simulation',)",Cities in Motion: German Cities,2011-09-14,5,73185,Colossal Order Ltd.
Wizards of the Coast LLC,"('Strategy',)",Magic: The Gathering 2012 - Expansion,2011-09-14,4,49473,Stainless Games Ltd
Paradox Interactive,"('RPG', 'Simulation', 'Strategy')",Sengoku,2011-09-15,9,73210,Paradox Development Studio
Pom Pom Games,"('Action', 'Indie')",Astro Tripper,2011-09-15,4,110600,PomPom
HeR Interactive,"('Adventure',)",Nancy Drew®: Shadow at the Water's Edge,2010-10-19,6,200080,HeR Interactive
Topware Interactive,"('RPG',)",Two Worlds II - Pirates of the Flying Fortress,2011-09-20,9,200440,Reality Pump Studios
NGD Studios,"('Action', 'Indie')",Bunch of Heroes,2011-09-21,4,111400,NGD Studios
2K Games,"('Action',)",Duke Nukem Forever: Hail to the Icons Parody Pack,2011-10-11,9,57923,Gearbox Software
THQ Nordic,"('Strategy',)",Supreme Commander: Forged Alliance,2011-09-28,14,9420,Gas Powered Games
Edmund McMillen,"('Action', 'Adventure', 'Indie', 'RPG')",The Binding of Isaac,2011-09-28,4,113200,Edmund McMillen and Florian Himsl
Giants Software,"('Simulation',)",Farming Simulator 2011 Equipment Pack 3,2011-09-29,6,90208,Giants Software
1C Company,"('Racing', 'Simulation')",Off-Road Drive,2011-09-29,4,200230,1C-Avalon
THQ Nordic,"('Strategy',)",Supreme Commander,2007-02-20,14,9350,Gas Powered Games
Red Redemption,"('Strategy', 'Indie', 'Casual', 'Simulation')",Fate of the World: Tipping Point,2011-09-29,18,901776,Red Redemption
Next Dimension Game Adventures Ltd.,"('Action', 'Racing')",Post Apocalyptic Mayhem: DLC - Chaos Pack,2011-09-29,1,201100,Steel Monkeys
Red Redemption,"('Strategy', 'Indie', 'Casual', 'Simulation')",Fate of the World: Denial,2011-09-29,2,80202,Red Redemption
Red Redemption,"('Strategy', 'Indie', 'Casual', 'Simulation')",Fate of the World: Migration,2011-09-29,4,80204,Red Redemption
CI Games,"('Action',)",Sniper: Ghost Warrior - Second Strike,2011-09-09,1,34842,City Interactive
Games Farm,"('Action', 'Simulation')",Air Conflicts: Secret Wars,2011-09-30,5,95900,"Games Farm,3Division"
Red Redemption,"('Strategy', 'Indie', 'Casual', 'Simulation')",Fate of the World: Extras Pack,2011-09-29,3,80207,Red Redemption
Capcom,"('Action', 'Adventure')",Dead Rising 2: Off the Record,2011-10-11,19,45770,Capcom Vancouver
Hothead Games,"('Action', 'Adventure', 'RPG')",The Baconing DLC - Roesha – One Bad Mutha Co-op Character,2011-10-11,1,18080,Hothead Games
Kalypso Media Digital,"('Strategy',)",Disciples III - Resurrection,2011-10-11,14,200670,"Akella,.dat"
"Days of Wonder, Asmodee Digital","('Casual', 'Simulation', 'Strategy')",Memoir '44 Online,2011-10-12,0,108210,Days of Wonder
Dovetail Games - Trains,"('Simulation',)",Train Simulator: Amtrak Acela Express EMU Add-On,2011-10-13,8,65231,Dovetail Games
Double Fine Productions,"('Adventure', 'Casual', 'RPG')",Costume Quest,2011-10-14,9,115100,Double Fine Productions
Electronic Arts,"('Simulation',)",The Sims™ 3 Pets,2011-10-18,19,47930,The Sims Studio
Positech Games,"('Strategy', 'Indie', 'Simulation')",Gratuitous Space Battles: The Parasites,2011-10-17,5,41816,Positech Games
Devolver Digital,"('Action', 'Indie', 'RPG')",Serious Sam: The Random Encounter,2011-10-24,4,201480,"Vlambeer,Croteam"
Merge Games,"('Casual', 'Indie', 'Strategy')",Puzzler World 2,2011-10-24,4,200130,Ideas Pad
Kalypso Media Digital,"('Simulation', 'Strategy')",Airline Tycoon 2,2011-10-24,9,201490,b-Alive
THQ Nordic,"('RPG',)",ArcaniA: Fall of Setarrif,2011-10-24,14,65610,Spellbound Studios
Signo &amp; Arte,"('Action', 'Indie')",The Haunted: Hells Reach,2011-10-24,8,43190,KTX Software
Robot Entertainment,"('Action', 'Indie', 'Strategy')",Orcs Must Die! - Artifacts of Power,2011-10-25,1,102622,Robot Entertainment
Square Enix,"('Action', 'RPG')",Dungeon Siege III: Treasures of the Sun,2011-10-25,6,39270,Obsidian Entertainment
Daybreak Game Company,"('Action', 'Adventure', 'Free to Play', 'Massively Multiplayer', 'RPG')",DC Universe™ Online,2011-11-02,0,24200,Daybreak Game Company
"Kalypso Media Digital, Feral Interactive (Mac)","('Simulation', 'Strategy')",Tropico 4: Junta Military DLC,2011-11-03,2,57696,"Haemimont Games,Feral Interactive (Mac)"
SEGA,"('Action',)",Sonic Generations Collection,2011-11-03,19,71340,Devil's Details
HeR Interactive,"('Adventure',)",Nancy Drew®: Alibi in Ashes,2011-11-02,6,202670,HeR Interactive
Robot Entertainment,"('Action', 'Indie', 'Strategy')",Orcs Must Die! - Lost Adventures,2011-11-08,2,102623,Robot Entertainment
"Activision, Aspyr (Mac)","('Action',)",Call of Duty®: Modern Warfare® 3,2011-11-08,39,115300,"Infinity Ward,Sledgehammer Games,Aspyr (Mac)"
Rockstar Games,"('Adventure', 'Strategy')",L.A. Noire,2011-11-08,19,110800,"Team Bondi,Rockstar Leeds"
Rockstar Games,"('Adventure', 'Strategy')",L.A. Noire: DLC Bundle,2011-11-08,11,110810,"Team Bondi,Rockstar Leeds"
"1C Company, 1C-SoftClub","('Strategy',)",Men of War: Assault Squad - MP Supply Pack Charlie,2011-11-09,1,64016,Digitalmindsoft
Final Form Games,"('Action', 'Indie')","Jamestown: Gunpowder, Treason, &amp; Plot",2011-11-10,2,94202,Final Form Games
Trendy Entertainment,"('Strategy', 'RPG', 'Indie')",Dungeon Defenders Halloween Mission Pack,2011-11-11,1,202521,Trendy Entertainment
Cipher Prime Studios,"('Indie', 'Casual')",Fractal: Make Blooms Not War,2011-11-29,6,61310,Cipher Prime Studios
Paradox Interactive,"('Action', 'RPG')",Magicka: Horror Props Item Pack,2011-11-29,2,73092,Arrowhead Game Studios
THQ Nordic,"('Indie', 'Racing')",SkyDrift,2011-11-21,9,91100,Digital Reality
Paradox Interactive,"('Action', 'RPG')",Magicka: Holiday Spirit Item Pack,2011-11-29,1,73091,Arrowhead Game Studios
"SEGA, Feral Interactive (Mac), Feral Interactive (Linux)","('Strategy',)",Total War: SHOGUN 2 - The Hattori Clan Pack,2011-11-30,4,34345,"The Creative Assembly,Feral Interactive (Mac),Feral Interactive (Linux)"
"SEGA, Feral Interactive (Mac), Feral Interactive (Linux)","('Strategy',)",Total War: Shogun 2 - Blood Pack DLC,2011-11-30,1,201272,"The Creative Assembly,Feral Interactive (Mac),Feral Interactive (Linux)"
Paradox Interactive,"('Action', 'RPG')",Magicka: The Stars Are Left,2011-11-29,5,73058,Arrowhead Game Studios
Paradox Interactive,"('Strategy',)",Europa Universalis III: Reformation SpritePack,2011-11-30,1,25812,Paradox Interactive
1C Company,"('Strategy',)",Real Warfare 1242,2010-06-11,3,46350,Unicorn Games Studio
Stardock Entertainment,"('Strategy',)",Galactic Civilizations® II: Ultimate Edition,2011-12-02,19,202200,Stardock Entertainment
Dovetail Games -Trains,"('Simulation',)",Train Simulator: West Coast Main Line North Route Add-On,2011-12-01,12,24083,"KrossRails,Dovetail Games"
Reloaded Games,"('Action', 'Free to Play', 'Massively Multiplayer')",APB Reloaded,2011-12-06,0,113400,Reloaded Productions
Wadjet Eye Games,"('Adventure', 'Indie')",Blackwell Unbound,2012-01-13,4,80340,Wadjet Eye Games
"1C Company, 1C-SoftClub","('Strategy',)",Men of War: Assault Squad - Skirmish Pack 2,2011-12-12,1,64017,Digitalmindsoft
Tripwire Interactive,"('Action',)",Killing Floor - Steampunk Character Pack 2,2011-12-07,7,35429,Tripwire Interactive
Strategy First,"('Racing',)",Flatout 3: Chaos &amp; Destruction,2011-12-13,9,201510,Team 6 Studios
Ubisoft,"('Action',)",Assassin's Creed Revelations - The Ancestors Character Pack,2011-12-13,3,201877,Ubisoft Montreal
Trendy Entertainment,"('Action', 'RPG', 'Indie')",Dungeon Defenders The Great Turkey Hunt! Mission &amp; Costumes,2011-12-13,1,203700,Trendy Entertainment
"Kalypso Media Digital, Feral Interactive (Mac)","('Simulation', 'Strategy')",Tropico 4: Plantador DLC,2011-12-14,2,57695,"Haemimont Games,Feral Interactive (Mac)"
"D3Publisher of America, Inc.","('Action',)",Earth Defense Force: Insect Armageddon,2011-12-14,9,23530,"Vicious Cycle Software, Inc."
Wizards of the Coast LLC,"('Strategy',)",Magic 2012 Deck Pack 2,2011-12-14,2,49475,Stainless Games Ltd
SEGA,"('Action',)","Warhammer 40,000: Space Marine - Golden Relic Chainsword",2011-12-15,0,55344,Relic
SEGA,"('Action',)","Warhammer 40,000: Space Marine - Traitor Legions Pack",2011-12-15,0,55341,Relic
"Gaslamp Games, Inc.","('Casual', 'Indie', 'RPG')",Dungeons of Dredmor: Realm of the Diggle Gods,2011-12-14,2,98820,"Gaslamp Games, Inc."
SEGA,"('Action',)","Warhammer 40,000: Space Marine - Emperor’s Elite Pack",2011-12-15,0,55340,Relic
Paradox Interactive,"('Strategy',)",Pirates of Black Cove: Origins,2011-12-15,4,49337,Nitro Games
SEGA,"('Action',)","Warhammer 40,000: Space Marine - Golden Relic Bolter",2011-12-15,0,55343,Relic
Egosoft,"('Action', 'Simulation')",X3: Albion Prelude,2011-12-15,9,201310,Egosoft
Frozenbyte,"('Action', 'Adventure', 'Indie')",Trine 2: Complete Story,2013-06-06,19,35720,Frozenbyte
Trendy Entertainment,"('Action', 'RPG', 'Indie')",Dungeon Defenders - Quest for the Lost Eternia Shards Part 1,2011-12-15,3,204381,Trendy Entertainment
Nyu Media,"('Action', 'Indie')",SATAZIUS,2011-12-16,5,203990,ASTRO PORT
Microsoft Studios,"('Action', 'Adventure', 'RPG')",Fable - The Lost Chapters,2011-12-19,9,204030,Lionhead Studios
SEGA,"('Action',)",Renegade Ops - Reinforcement Pack,2011-12-19,2,200620,Avalanche Studios
Viva Media,"('Casual', 'Strategy')",Crazy Machines 2: Happy New Year DLC,2011-12-19,2,202452,Fakt Software
Trendy Entertainment,"('Action', 'RPG', 'Indie')",Dungeon Defenders - Etherian Holiday Extravaganza,2011-12-20,1,204380,Trendy Entertainment
Deep Silver,"('Action',)",Saints Row: The Third Warrior Pack,2011-12-20,2,55395,Volition
SEGA,"('Action',)",Renegade Ops - Coldstrike Campaign,2011-12-19,4,200610,Avalanche Studios
SEGA,"('Action',)","Warhammer 40,000: Space Marine - Alpha Legion Champion Armour Set",2011-12-20,2,55471,Relic
SEGA,"('Action',)","Warhammer 40,000: Space Marine - Salamanders Veteran Armour Set",2011-12-20,2,55473,Relic
SEGA,"('Action',)","Warhammer 40,000: Space Marine - Blood Angels Veteran Armour Set",2011-12-20,2,55472,Relic
SEGA,"('Action',)","Warhammer 40,000: Space Marine - Legion of the Damned Armour Set",2011-12-20,2,55470,Relic
SEGA,"('Action',)","Warhammer 40,000: Space Marine - Chaos Unleashed Map Pack",2011-12-20,9,55347,Relic
"D3Publisher of America, Inc.","('Action',)",Earth Defense Force Tactician Advanced Tech Package,2011-12-20,0,23553,"D3Publisher of America, Inc."
"D3Publisher of America, Inc.","('Action',)",Earth Defense Force Trooper Special Issue Enforcer Package,2011-12-20,0,23551,"D3Publisher of America, Inc."
"D3Publisher of America, Inc.","('Action',)",Earth Defense Force Battle Armor Weapon Chest,2011-12-20,0,23550,"D3Publisher of America, Inc."
Unigine Corp.,"('Indie', 'Strategy')",Oil Rush,2012-01-25,7,200390,Unigine Corp.
Dovetail Games - Trains,"('Simulation',)",Train Simulator: Woodhead Route Add-On,2012-01-26,12,65244,Dovetail Games
Paradox Interactive,"('RPG', 'Strategy')",King Arthur II: The Role-Playing Wargame,2012-01-27,9,24480,NeocoreGames
Paradox Interactive,"('Strategy', 'RPG')",King Arthur II: Dead Legions,2012-01-27,4,24488,NEOCORE GAMES
Devolver Digital,"('Action', 'Indie')",Serious Sam 2,2005-10-11,9,204340,Croteam
Carpe Fulgur LLC,"('Action', 'Indie', 'RPG')",Fortune Summoners,2012-01-30,19,203510,Lizsoft
Perfect World Entertainment,"('Free to Play', 'Massively Multiplayer', 'RPG')",Star Trek Online,2010-02-02,0,9900,Cryptic Studios
Trendy Entertainment,"('Action', 'RPG', 'Indie')",Dungeon Defenders: Barbarian Hero DLC,2012-01-31,2,204386,Trendy Entertainment
Trendy Entertainment,"('Action', 'RPG', 'Indie')",Dungeon Defenders: Assault Mission Pack,2012-01-31,1,204385,Trendy Entertainment
THQ Nordic,"('RPG', 'Simulation', 'Strategy')",Jagged Alliance - Back in Action,2012-02-08,19,57740,"Coreplay GmbH,Bigmoon Studios"
RichMakeGame,"('Action', 'Indie')",Pineapple Smash Crew,2012-02-02,9,204390,RichMakeGame
Paradox Interactive,"('Strategy',)",Victoria II: A House Divided,2012-02-02,9,42968,Paradox Development Studio
Q-Games Ltd.,"('Action', 'Casual', 'Indie')",PixelJunk™ Eden,2012-02-02,9,105800,Q-Games Ltd.
Owlchemy Labs,"('Casual', 'Indie', 'Racing')",Snuggle Truck,2012-02-03,4,111100,Owlchemy Labs
Puppy Games,"('Action', 'Casual', 'Indie')",Titan Attacks!,2012-02-03,9,203210,Puppygames
inXile Entertainment,"('Action', 'Indie')",Choplifter HD - Night Avenger Chopper,2012-02-14,0,205160,inXile Entertainment
Paradox Interactive,"('RPG', 'Simulation', 'Strategy')",Crusader Kings II,2012-02-14,39,203770,Paradox Development Studio
Paradox Interactive,"('Strategy',)",Crusader Kings II: Dynasty Shields,2012-02-14,1,203772,Paradox Interactive
Paradox Interactive,"('Strategy',)",Crusader Kings II: Mongol Faces,2012-02-14,1,203773,Paradox Interactive
"WXP Games, LLC","('Action', 'Indie')",Xotic DLC: Pipe Works Expansion Pack,2012-02-15,1,92620,"WXP Games, LLC"
Remedy Entertainment,"('Action', 'Adventure')",Alan Wake,2012-02-16,9,108710,Remedy Entertainment
Dovetail Games - Trains,"('Simulation',)",Train Simulator: Glasgow Airport Rail Link Route Add-On,2010-05-05,19,24065,Thomson Interactive
Paradox Interactive,"('Action', 'RPG')",Magicka: Lonely Island Cruise,2012-02-16,1,73039,Arrowhead Game Studios
Akella,"('Action',)",Postal III,2011-12-21,11,10220,Trashmasters
Iceberg Interactive,"('RPG', 'Simulation')",Starpoint Gemini,2012-02-16,13,108110,Little Green Men Games
Deca Games,"('Action', 'Free to Play', 'Indie', 'Massively Multiplayer', 'RPG')",Realm of the Mad God,2012-02-20,0,200210,Wild Shadow Studios
Paradox Interactive,"('Strategy',)",Hearts of Iron III: Dies Irae Stars &amp; Stripes Spritepack,2012-02-20,1,42905,Paradox Interactive
Deep Silver,"('Action',)",Saints Row: The Third - Gangstas in Space,2012-02-21,6,55381,Volition
MumboJumbo,"('Adventure', 'Casual')",Pickers,2012-02-22,9,204440,MumboJumbo
Brandon Brizzi,"('Adventure', 'Indie')",1000 Amps,2012-02-22,4,205690,Brandon Brizzi
Ubisoft,"('Action', 'Adventure')",Assassin's Creed® Revelations - The Lost Archive,2012-02-28,9,201882,Ubisoft Montreal
"Ubisoft, Feral Interactive (Mac)","('Action', 'Adventure')",Rayman® Origins,2012-03-29,19,207490,"UBIart Montpellier,Feral Interactive (Mac)"
Dovetail Games - Trains,"('Simulation',)",Train Simulator: DB Freight: 1970s Loco Add-On,2012-03-01,12,65249,virtualRailroads
Paradox Interactive,"('Simulation',)",Cities In Motion: Design Dreams,2012-02-29,3,206710,Colossal Order Ltd.
IndiePub,"('Action', 'Indie', 'Strategy')",Vessel,2012-03-01,19,108500,Strange Loop Games
Cobra Mobile,"('Casual', 'Indie', 'Strategy')",iBomber Defense Pacific,2012-03-01,4,206690,Cobra Mobile
MumboJumbo,"('Action', 'Indie', 'Casual')",Luxor Evolved,2012-03-01,9,205830,MumboJumbo
Remedy Entertainment,"('Action', 'Adventure')",Alan Wake Collector's Edition Extras,2012-03-02,9,108726,Remedy Entertainment
Electronic Arts,"('Simulation',)",The Sims™ 3 Showtime,2012-03-06,19,47932,The Sims Studio
Double Fine Productions,"('Adventure', 'Indie')",Stacking,2012-03-06,9,115110,Double Fine Productions
Bootsnake Games,"('Casual', 'Indie')",Containment: The Zombie Puzzler,2012-03-02,4,203560,Bootsnake Games
Dovetail Games - Trains,"('Simulation',)",Train Simulator: Cologne-Dusseldorf Route Add-On,2012-03-08,19,65246,Aerosoft GmbH
Dovetail Games - Trains,"('Simulation',)",Train Simulator: South West Trains Class 444 EMU Add-On,2012-03-08,8,65253,Dovetail Games
Tribute Games Inc.,"('Action', 'Adventure', 'Indie')",Wizorb,2012-03-14,2,207420,Tribute Games Inc.
Paradox Interactive,"('Strategy',)",Defenders of Ardania,2012-03-14,9,73060,Most Wanted Entertainment
Deep Silver,"('Simulation',)",Jane's Advanced Strike Fighters,2012-03-08,9,207790,Trickstar Games
Nimbly Games,"('Casual', 'Indie', 'Strategy')",Bumbledore,2012-03-15,4,207710,Nimbly Games
Trendy Entertainment,"('Action', 'RPG', 'Indie')",Dungeon Defenders - President's Day Surprise,2012-03-15,1,204388,Trendy Entertainment
Trendy Entertainment,"('Strategy', 'RPG', 'Indie')",Dungeon Defenders - Quest for the Lost Eternia Shards Part 2,2012-03-15,3,204382,Trendy Entertainment
3 Sprockets,"('Indie', 'Strategy')",Cubemen,2012-03-16,3,207250,3 Sprockets
Cyan Worlds,"('Adventure', 'Casual')",Myst V,2012-03-16,9,208110,Cyan Worlds
Trendy Entertainment,"('Strategy', 'RPG', 'Indie')",Dungeon Defenders Lucky Costume Pack,2012-03-16,0,208540,Trendy Entertainment
Bounce Entertainment,"('Action', 'Indie', 'Casual')",Space Ark,2012-03-16,4,19320,Strawdog Studios Ltd
XSEED Games,"('Action', 'Adventure', 'RPG')",Ys: The Oath in Felghana,2012-03-19,14,207320,Nihon Falcom
Bohemia Interactive,"('Simulation',)",Take On Helicopters: Hinds,2012-03-20,8,65733,Bohemia Interactive
Eden Industries,"('Adventure', 'Indie', 'Strategy')",Waveform,2012-03-20,1,204180,Eden Industries
Deep Silver,"('Action',)",Saints Row: The Third - The Trouble with Clones DLC,2012-03-20,6,55382,Volition
PomPom Games,"('Action', 'Indie')",Mutant Storm: Reloaded,2012-03-21,4,110630,PomPom Games
Electronic Arts,"('Action', 'Adventure', 'Indie')",Warp,2012-03-21,9,102850,Trapdoor Inc.
"38 Studios, Electronic Arts","('Action', 'RPG')",Kingdoms of Amalur: Reckoning - Legend of Dead Kel,2012-03-20,9,102510,"Big Huge Games,38 Studios"
"SEGA, Feral Interactive (Mac), Feral Interactive (Linux)","('Strategy',)",Total War: Shogun 2 - Fall of the Samurai,2012-03-22,29,201271,"The Creative Assembly,Feral Interactive (Mac),Feral Interactive (Linux)"
Focus Home Interactive,"('Adventure',)",Yesterday,2012-03-22,9,205840,Pendulo Studios
Pixelante Game Studios,"('Action', 'Indie')",Fowl Space,2012-03-21,4,109500,Pixelante Game Studios
Viva Media,"('Casual', 'Strategy')",Crazy Machines Elements DLC - Collision Course &amp; Mental Activity,2012-03-23,2,206416,Fakt Software
MumboJumbo,"('Adventure', 'Casual')",Midnight Mysteries 3: Devil on the Mississippi,2012-03-28,9,208630,MumboJumbo
MumboJumbo,"('Adventure', 'Casual')",Midnight Mysteries 4: Haunted Houdini,2012-03-28,9,208640,MumboJumbo
"Kalypso Media Digital, Feral Interactive (Mac)","('Simulation', 'Strategy')",Tropico 4: Modern Times,2012-03-29,6,205630,"Haemimont Games,Feral Interactive (Mac)"
Topware Interactive,"('Casual', 'Indie')",3SwitcheD,2012-03-29,9,206610,Reality Pump
Dovetail Games - Trains,"('Simulation',)",Train Simulator: Freightliner Class 70 Loco Add-On,2012-03-29,8,65252,Dovetail Games
Trendy Entertainment,"('Strategy', 'RPG', 'Indie')",Dungeon Defenders: Series EV Hero DLC,2012-03-29,3,208541,Trendy Entertainment
BANDAI NAMCO Entertainment,"('Racing',)",Ridge Racer™ Unbounded,2012-03-29,9,202310,BUGBEAR
Longbow Games,"('Indie', 'Strategy')",Hegemony Gold: Wars of Ancient Greece,2012-03-30,14,202690,Longbow Games
Focus Home Interactive,"('Action', 'RPG', 'Strategy')",Confrontation,2012-04-04,9,204560,Cyanide
Dovetail Games - Trains,"('Simulation',)",Train Simulator: Settle to Carlisle Route Add-on,2012-04-05,12,65255,Dovetail Games
David Williamson,"('Casual', 'Indie', 'RPG')","Hack, Slash, Loot",2012-04-05,6,207430,David Williamson
Trendy Entertainment,"('Strategy', 'RPG', 'Indie')",Dungeon Defenders: Penny Arcade Character Pack,2012-04-05,1,202524,Trendy Entertainment
TAO,"('Indie',)",The White Laboratory Demo,2012-04-06,0,213530,TAO
BitSits Games,"('Indie', 'Casual')",Atooms to Moolecules Demo,2012-04-06,0,213390,BitSits Games
Serious Brothers,"('Indie', 'Simulation', 'Strategy', 'Early Access')",Imagine Earth,2014-05-20,19,280720,Serious Brothers
Square Enix,"('Action',)",Scary Girl,2012-04-09,6,202370,TikGames
Kalypso Media Digital,"('Strategy', 'Simulation')",Airline Tycoon 2: Honey Airlines DLC,2012-04-19,5,206881,b-Alive
Deep Silver,"('RPG',)",Risen 2: Dark Waters,2012-04-26,9,40390,Piranha Bytes
Trendy Entertainment,"('Action', 'Strategy', 'RPG', 'Indie')",Dungeon Defenders: Quest for the Lost Eternia Shards Part 3,2012-04-26,3,204383,Trendy Entertainment
Deep Silver,"('Action', 'Adventure')",Risen 2: Dark Waters - Treasure Isle DLC,2012-04-27,4,40392,Piranha Bytes
SEGA,"('Action',)",Binary Domain,2012-04-27,14,203750,Devil's Details
Love Conquers All Games,"('Indie',)",Analogue: A Hate Story,2012-04-27,9,209370,Love Conquers All Games
Microsoft Studios,"('Action', 'Casual', 'Simulation', 'Strategy')",Toy Soldiers,2012-04-27,9,98300,Signal Studios
"SEGA, Feral Interactive (Mac), Feral Interactive (Linux)","('Strategy',)",Total War: SHOGUN 2 - Dragon War Battle Pack,2012-05-01,5,201277,"The Creative Assembly,Feral Interactive (Mac),Feral Interactive (Linux)"
Deep Silver,"('Action',)",Saints Row: The Third - Steelport Gangs Pack,2012-05-01,2,55397,Volition
Dovetail Games - Trains,"('Simulation',)",Train Simulator: Settle Carlisle Specials Add-On,2012-05-03,19,65258,Dovetail Games
"Days of Wonder, Asmodee Digital","('Casual', 'Indie', 'Strategy')",Ticket to Ride - USA 1910,2012-05-24,1,108232,Days of Wonder
Paradox Interactive,"('Simulation',)",Cities in Motion: Paris,2012-05-15,4,206714,Colossal Order Ltd.
THQ Nordic,"('RPG', 'Simulation', 'Strategy')",Jagged Alliance - Back in Action: Shades of Red DLC,2012-05-15,4,203344,Coreplay GmbH
Devolver Digital,"('Action', 'Indie')",Serious Sam HD: The Second Encounter,2010-04-28,19,41014,Croteam
Devolver Digital,"('Action', 'Indie')",Serious Sam HD: The Second Encounter - Legend of the Beast DLC,2012-05-15,4,41019,Croteam
HeR Interactive,"('Adventure',)",Nancy Drew®: Tomb of the Lost Queen,2012-05-16,19,210230,HeR Interactive
Black Market Games,"('Casual', 'Indie')",Dead Hungry Diner,2012-05-16,3,211800,Black Market Games
Dovetail Games - Trains,"('Simulation',)",Train Simulator: BR Class 423 ‘4VEP’ EMU Add-On,2012-05-17,8,65256,Dovetail Games
Dovetail Games - Trains,"('Simulation',)",Train Simulator: Portsmouth Direct Line Route Add-On,2012-05-17,12,65218,Dovetail Games
Capcom Co. Ltd,"('Action',)",Resident Evil: Operation Raccoon City,2012-05-18,29,209100,Slant Six Games
Sigma Team Inc.,"('Action', 'Indie', 'RPG')",Alien Shooter 2 Conscription,2012-05-18,9,211010,Sigma Team Inc.
